Job Title,Company,Location,Experience,Posted,Description,Skills
CSV Analyst,Leading Client,Bengaluru,5-10 Yrs,1 day ago,Experience : 5+ . .,"csv, gamp, quality assurance, hp alm, jira, pq, capa, risk assessment"
Analyst - Enablement,National Australia Bank (NAB),Gurugram,3-8 Yrs,1 day ago,NAB has established NAB Innovation Centre India as a centre for operations and technolo...,"Document review, Senior Analyst, Finance, Banking operations, Banking, Anti money laundering, data integrity, Operations"
Analyst - CLS,National Australia Bank (NAB),Gurugram,3-7 Yrs,1 day ago,Major Requirement . 3+ years of experience in Australia Lending3 years of overall exper...,"underwriting, lending, Personal banking, CL, Analysis, Personal"
Copy Coordinator (Analyst),Omnicom Media Group,Bengaluru,1-3 Yrs,1 day ago,"Bachelor s degree preferred in Communications, Biology (any science), or English Experi...","medical, pharmaceutical, css, web services, sharepoint, microsoft, hibernate, healthcare"
Analyst,Tata Technologies,Pune,1-3 Yrs,1 day ago,"Develop design documents, based on the functional specification and requirements in con...","caa, c++, ekl, java, vb, design documents, web services, jsp"
Senior FP&A Analyst,SDG Corporation,Noida,5-10 Yrs,1 day ago,"Comfortable with tools like Oracle, NetSuite, Salesforce, Zoho, ADP, andAnaplan. Profic...","IT services, ERP, Senior Analyst, Finance, Process improvement, power bi, Oracle, Risk management"
AML_KYC Analyst,Quantum Leap Consulting,Bengaluru,1-3 Yrs,1 day ago,Skills & Expertise Required: . 1 3 years of hands-on experience in AML / KYC operations...,"AML, KYC, Corporate Kyc, CDD, Client Onboarding, EDD, Customer Due Diligence, Enhanced Due Diligence"
Analyst,NLB Groups,"Noida, New Delhi, Delhi / NCR",0-2 Yrs,1 day ago,"Good Analytical thinking, problem solving and resourcefulnessMust be highly organized a...","Cheque Fraud Adjustments, Kyc Operations, Accounting, Fraud Detection, Banking Process, Aml Compliance, Operations, Code Coverage"
Analyst / Consultant,Protiviti India,Bengaluru(Kadubeesanahalli),2-3 Yrs,6 days ago,B.COM / BBA with 3+yrs of relevant work experiencePreferred candidate profile Good to ...,"Accounting, General Ledger Accounting, Accounts Receivable, O2C, Order To Cash, Accounts Reconciliation, Cash, Order fulfillment"
Research Associate,Poddar Group Of Institutions,Jaipur,1-4 Yrs,6 days ago,PODDAR GROUP OF INSTITUTIONS is looking for Research Associate to join our dynamic team...,"project management, data analysis, data interpretation, professor activities, spss, research analysis, teaching, analysis"
Record To Report Ops Analyst,Accenture,Bengaluru,3-5 Yrs,1 week ago,Qualifications: BCom / Any Graduation Skill required: Record To Report - Fixed Asset Ac...,"journal entries, accounting, payment processing, record to report, fixed asset accounting, hlookup, macros, service operations"
Research Analyst,Marmore Mena Intelligence,Chennai,1-4 Yrs,1 week ago,JOB SUMMARY Marmore is looking for individuals who will undertake business and financi...,"Financial Research, Equity Valuation, Equity Research, Strategy Consulting, Industry Reports, Investment Banking, Industry Research, Pitch Books"
Record To Report Ops Analyst,Accenture,Bengaluru,3-5 Yrs,1 week ago,Skill required: Record To Report - Financial Consolidation & Close Operations,"journal entries, forecasting, accounting, record to report, financial reporting, hlookup, macros, service operations"
Record To Report Ops Analyst,Accenture,Bengaluru,3-5 Yrs,1 week ago,Skill required: Record To Report - Financial Consolidation & Close Operations,"journal entries, accounting, financial management, record to report, financial reporting, hlookup, macros, service operations"
Record To Report Ops Analyst,Accenture,Bengaluru,3-5 Yrs,1 week ago,Skill required: Record To Report - Accounting & Financial Reporting Standards,"journal entries, accounting, record to report, financial reporting, financial statements, hlookup, macros, service operations"
Record To Report Ops Analyst,Accenture,Bengaluru,3-5 Yrs,1 week ago,Skill required: Record To Report - Financial Consolidation & Close Operations,"journal entries, forecasting, accounting, budgeting, record to report, hlookup, macros, service operations"
Record To Report Ops Analyst,Accenture,Jaipur,3-5 Yrs,1 week ago,Please note this role may require you to work in rotational shiftsQualifications: Any G...,"accounts reconciliation, journal entries, forecasting, general ledger, record to report, hlookup, macros, service operations"
Record To Report Ops Analyst,Accenture,Gurugram,3-5 Yrs,1 week ago,Skill required: Record To Report - Financial Analysis . Years of Experience: 3 to 5 yea...,"financial analysis, journal entries, forecasting, reporting analysis, record to report, hlookup, macros, service operations"
Record To Report Ops Analyst,Accenture,Noida,3-5 Yrs,1 week ago,Skill required: Record To Report - Account ReconciliationsBecause the reconciliation ac...,"accounts reconciliation, journal entries, forecasting, general ledger, record to report, hlookup, macros, service operations"
Record To Report Ops Analyst,Accenture,Bengaluru,3-5 Yrs,1 week ago,Qualifications: Any Graduation Skill required: Record To Report - Account Reconciliatio...,"accounts reconciliation, journal entries, accounting, general ledger, record to report, hlookup, service operations, data analysis"
Record To Report Ops Analyst,Accenture,Gurugram,3-5 Yrs,1 week ago,Qualifications: Any Graduation Skill required: Record To Report - Financial Consolidati...,"journal entries, accounting, balance sheet reconciliation, general ledger, record to report, hlookup, macros, service operations"
Record To Report Ops Analyst,Accenture,Noida,3-5 Yrs,1 week ago,Skill required: Record To Report - Balance Sheet Account ReconciliationsThe resource sh...,"balance sheet, journal entries, forecasting, general ledger, record to report, macros, service operations, data analysis"
Record To Report Ops Analyst,Accenture,Bengaluru,3-5 Yrs,1 week ago,Skill required: Record To Report - Account ReconciliationsBecause the reconciliation ac...,"hlookup, service operations, vlookup, reporting analysis, advanced excel, macros, data analysis, mis reporting"
Record To Report Ops Analyst,Accenture,Gandhinagar,3-5 Yrs,1 week ago,Skill required: Record To Report - Account ReconciliationsBecause the reconciliation ac...,"hlookup, service operations, vlookup, reporting analysis, advanced excel, macros, data analysis, mis reporting"
Mis Executive,Fiza Healthcare,Mumbai(Andheri Kurla Road),2-6 Yrs,1 week ago,Main ResponsibilitiesPerformance Analysis: Conduct in-depth analysis of procurement per...,"Performance Analysis, MIS Preparation, Report Generation, Continuous Improvement, Dashboard Development, MIS Reporting, Improvement, Dashboards"
MIS Finance Analyst,Kokan Ngo,Mumbai,2-4 Yrs,1 week ago,Kokan Ngo is looking for MIS Finance Analyst to join our dynamic team and embark on a r...,"hlookup, conditional formatting, macros, charts, data analysis, sumif, data management, mis reporting"
Oppo Mobile is looking For MIS Executive,Longstand Electronics,Nagpur,0-4 Yrs,1 week ago,Should be able to handle & achieve the departmental requirementsPreferred candidate pro...,"Data Management, Advanced Excel, MIS Reporting, Pivot Table, Team Management, MIS Operations, Communication Skills, VLOOKUP"
Mis Executive,VC Nutrifoods,Nuzvid,1-5 Yrs,1 week ago,Any Graduate or Any Postgraduate They must be able to communicate complex data in a sim...,"Pivot Table, VLOOKUP, Data Analysis, Formulas, HLOOKUP, MIS Operations, Advanced Excel, MIS Reporting"
Mis Analyst,Mahindra Logistics,Mohali,1-5 Yrs,1 week ago,Preferred candidate profile . Experience with database management and reporting softwar...,"Power Bi, Mis Analysis, Advanced Excel, MIS Reporting, Data Reporting, Reporting, MIS, Excel"
Record To Report Ops Analyst,Accenture,Bengaluru,3-5 Yrs,2 weeks ago,Account Reconciliations Month End Reporting Corporate Tax Strong analytical skills Adap...,"balance sheet, process design, accounting, record to report, taxation, hlookup, macros, service operations"
Record To Report Ops Analyst,Accenture,Bengaluru,3-5 Yrs,2 weeks ago,"The role requires a good understanding of P&L accounts, general ledger, bookkeeping, jo...","erp, journal entries, sap erp, balance sheet analysis, record to report, macros, service operations, data analysis"
Record To Report Ops Analyst,Accenture,Gurugram,3-5 Yrs,2 weeks ago,Skill required: Record To Report - Account ReconciliationsBecause the reconciliation ac...,"accounts reconciliation, journal entries, forecasting, general ledger, record to report, hlookup, macros, service operations"
Record To Report Ops Analyst,Accenture,Pune,3-5 Yrs,2 weeks ago,Skill required: Record To Report - Accounting & Financial Reporting Standards,"journal entries, accounting, financial reporting, record to report, financial statements, hlookup, macros, service operations"
Mis Executive,Raj Jewellers,Gurugram,1-6 Yrs,2 weeks ago,Role & responsibilities Develop and maintain MIS reports for various business functions...,"Looker Studio, Reports And Dashboards, VLOOKUP, MIS Operations, Conditional Formatting, Data Analysis, Advanced Excel, MIS Reporting"
MIS EXECUTIVE,Sodexo Food Solutions India Pvt. Ltd.ces,Ahmedabad,1-2 Yrs,1 week ago,Ltd. is looking for Mis Executive to join our dynamic team and embark on a rewarding ca...,"hlookup, conditional formatting, charts, macros, data analysis, sumif, mis reporting, data validation"
FinOps Analyst,Rora,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-5 Yrs,2 weeks ago,"Your working environment should be quiet and free from distractions, plus strong and re...","financial analysis, accounts payable, investment banking, accounting, reconciliation, quick books, healthcare, excel"
FP&A Opex Analyst,Int9 Solutions,"Mumbai, Delhi / NCR, Bengaluru",3-5 Yrs,3 weeks ago,"Qualifications: Bachelors degree in Finance, Accounting, or a related field3+ years of ...","Financial planning and analysis, Opex management, project management, Power BI, forecasting, process optimization, variance analysis, Tableau"
SLS Analyst,Insight Direct India,"Noida, Hyderabad, New Delhi, Pune, Gurugram, Bengaluru",2-4 Yrs,3+ weeks ago,Shift Allowance . .,"financial analysis, analysts, report generation, administration, medical insurance, business acumen, reconciliation, sales"
Analyst,eClerx,Mumbai,0-3 Yrs,2 weeks ago,We are looking for a highly skilled and experienced Analyst to join our team at eClerx ...,"data analysis, it services, sql, ssis, reporting tools, project management, oracle, data warehousing"
Analyst,eClerx,Chandigarh,0-3 Yrs,2 weeks ago,We are looking for a highly skilled and experienced Analyst to join our team at eClerx ...,"data analysis, it services, sql, ssis, reporting tools, project management, oracle, data warehousing"
Analyst,eClerx,Mumbai,0-3 Yrs,2 weeks ago,"Proficient in using various tools and technologies, including data analysis software an...","data analysis, it services, sql, technical documentation, reporting tools, project management, oracle, data warehousing"
Analyst,eClerx,Mumbai,0-3 Yrs,2 weeks ago,"Proficient in data analysis and reporting tools, such as Excel or SQL","data analysis, it services, sql, technical documentation, reporting tools, project management, oracle, data warehousing"
Analyst,eClerx,Chandigarh,1-3 Yrs,2 weeks ago,"Proficient in data analysis and reporting tools, such as Excel or SQL","data analysis, it services, sql, technical documentation, reporting tools, project management, oracle, data warehousing"
Analyst,eClerx,Chandigarh,1-3 Yrs,2 weeks ago,We are looking for a highly skilled and experienced Analyst to join our team at eClerx ...,"data analysis, it services, sql, ssis, reporting tools, project management, oracle, data warehousing"
Analyst,eClerx,Pune,1-3 Yrs,2 weeks ago,"Proficient in data analysis and reporting tools, such as Excel or SQL","data analysis, it services, sql, technical documentation, reporting tools, project management, oracle, data warehousing"
Analyst,eClerx,Chandigarh,1-3 Yrs,2 weeks ago,We are looking for a highly skilled and experienced Analyst to join our team at eClerx ...,"data analysis, it services, data warehousing, sql, reporting tools, project management, operations management, oracle"
Analyst,eClerx,Pune,0-3 Yrs,2 weeks ago,"Experience with data analysis and reporting tools, such as Excel or SQL. .","data analysis, it services, sql, technical documentation, reporting tools, project management, oracle, data warehousing"
Analyst,eClerx,Mumbai,1-3 Yrs,2 weeks ago,"Proficient in using various tools and technologies, including data analysis software an...","data analysis, it services, sql, technical documentation, reporting tools, project management, oracle, data warehousing"
Analyst,eClerx,Mumbai,0-3 Yrs,2 weeks ago,Experience with data analysis and reporting tools,"data analysis, it services, sql, data quality, reporting tools, project management, oracle, data warehousing"
Analyst,eClerx,Mumbai,0-3 Yrs,2 weeks ago,Job would require the candidate to learn and master various financial products includin...,"investment banking, capital market, trade life cycle, derivatives, fixed income, settlements, trading, data management"
Analyst,eClerx,Pune,0-3 Yrs,2 weeks ago,Requirements: . Bachelors degree in any discipline or equivalent work experience in a c...,"analysts, customer service, mentoring, microsoft office suite, coaching, risk management, mortgage advisors, report generation"
FP&A Analyst / Sr. Analyst / Manager - Chennai,2coms,Chennai,3-8 Yrs,2 weeks ago,"Bachelor s degree in Finance, Accounting, Business, or related field Relevant certifica...","data analysis, software, forecasting, presentation skills, accounting, analysis, budgeting, excel"
DQ Analyst,Tekskills india,"Hybrid - Hyderabad, Chennai, Bengaluru",8-13 Yrs,2 weeks ago,Strong communications and Stakeholder Management skills: Should be able to work effecti...,"Data Quality, Data Quality Measurement and Reporting, Data Governance, Analysis, Measurement, Reporting, Governance, Data"
Analyst,Wipro,Bengaluru,2-5 Yrs,3 weeks ago,Skills: Candidate must be a Post Graduate with knowledge of Finance 5 - 2 years of acco...,"project management, multitasking, customer service, accounting, finance, macros, tds, accounts payable"
Analyst - L3,Wipro,Hyderabad,3-5 Yrs,3 weeks ago,Mandatory Skills: Oracle Apps Financial Consulting. Experience3-5 Years.,"oracle, plsql, sql, oracle reports, oracle apps, financial analysis, rice components, oracle forms"
Analyst,Wipro,Mumbai,3-4 Yrs,3 weeks ago,"Asset Based Finance RequirementExperience in vehicle & commercial loan processing, dr...","credit risk, investment banking, loan origination, underwriting, drafting, financial analysis, mis preparation, screening"
Analyst,Wipro,Mumbai,1-3 Yrs,3 weeks ago,Trade finance Analyst / Document checker / Letter of credit operations specialist . Req...,"import, investment banking, bank guarantee, documentary collections, document checking, trade finance, ucp, clm"
Analyst Controllership IND,Ameriprise Financial,Gurugram,1-3 Yrs,3 weeks ago,"Perform Accounting, Reconciliation, and Reporting functions on day to day basis for Spe...","MIS reporting, Journal entries, Fixed assets, Reconciliation, Financial planning, Billing, MS Office tools, Asset management"
Analyst - Transfer Agency,Apex Group,Mumbai,1-6 Yrs,3 weeks ago,Flexible enough to work in any shift as per business needs. . Positive attitude and tea...,"Transfer Agency processing, AML, CRS reporting, Transaction processing, investor document management, FATCA, Microsoft Excel, Documentation"
Analyst - Transfer Agency,Apex Group,Pune,1-6 Yrs,3 weeks ago,Flexible enough to work in any shift as per business needs. . Positive attitude and tea...,"Transfer Agency processing, AML, CRS reporting, Transaction processing, investor document management, FATCA, Transfer, Processing"
Analyst - Transfer Agency,Apex Group,Mumbai,1-6 Yrs,3 weeks ago,Flexible enough to work in any shift as per business needs. . Positive attitude and tea...,"Transfer Agency processing, AML, CRS reporting, Transaction processing, investor document management, FATCA, Documentation, Transfer Agency"
Analyst - Transfer Agency,Apex Group,Mumbai,1-5 Yrs,3 weeks ago,Flexible enough to work in any shifts as per business needs. Ability to work under pres...,"Transfer Agency processing, AML, document management, Transaction processing, Transaction Reporting, Transfer, Processing, Analysis"
Analyst - Transfer Agency,Apex Group,Mumbai,1-5 Yrs,3 weeks ago,The Transfer Agency Department provides Fund Administration service to numerous Fund ma...,"Transfer Agency processing, AML, excel, document management, Transaction processing, Transaction Reporting, Process, Agency"
Analyst - Transfer Agency,Apex Group,Pune,1-6 Yrs,3 weeks ago,Flexible enough to work in any shift as per business needs. . Positive attitude and tea...,"Transfer Agency processing, AML, CRS reporting, Transfer agency functions, Processing, Reporting, Functional, CRS"
Analyst - Transfer Agency,Apex Group,Mumbai,1-6 Yrs,3 weeks ago,Transfer Agency Trade Processing TeamBusiness- AML/KYCRole Title- Associate/Senior Asso...,"Transfer Agency processing, AML, CRS reporting, investor document management, Transfer agency functions, Fund Administration, Transfer Agency, Documentation"
SIAM Analyst,Elanco Innovation And Alliance Centre,Hybrid - Bengaluru,5-7 Yrs,3+ weeks ago,"Role & responsibilities Review, prioritize, and respond to intake requests for service...","Siam, Reporting, Servicenow, ITSM, Incident, ITIL, Analysis"
RTR Analyst || 6.5 LPA || Gurgaon,Imaginators Try Going Beyond,Gurugram,4-9 Yrs,1 week ago,"RTR Sr Analyst Exp- 3+ Years Loc- Gurgaon Skills- RTR, Bank Reconciliation, General Led...","RTR, Month End Closing, R2R, Record To Report, Balance Sheet Reconciliation, Intercompany Reconciliation, Journal Entries, Gl Accounting"
Analyst,Barclays,Chennai,1-4 Yrs,2 weeks ago,"CFA / masters in finance / financial engineering would be an advantageAt Barclays, we d...","excel, trading, presentation skills, access database, powerpoint, reporting, cfa, Analysis"
Analyst,Center Study Science Technology Policy,Bengaluru,2-3 Yrs,3+ weeks ago,The incumbent should be creative and must be willing to ideate new projects on sustaina...,"Economics, Administration, Project reports, Data collection, MS Office tools, Research, Powerpoint, Sustainable development"
Analyst,Eco Paryavaran Engineers & Consultants,Mohali,1-3 Yrs,3+ weeks ago,Eco Paryavaran Engineers Consultants is looking for Analyst to join our dynamic team an...,"financial analysis, analysts, risk management, data analysis, mortgage advisors, report generation, administration, investment banking"
Analyst,Evalueserve,Bengaluru,1-3 Yrs,3+ weeks ago,. Should have exposure ofworking on Moodys Credit Lens (mandatory) . Financials spreadi...,"financial analysis, analysts, risk management, visualforce, lending, report generation, forecasting, administration"
Analyst,eClerx,Mumbai,0-2 Yrs,2 weeks ago,He / she must be able to work collaboratively with teams to execute tasks within define...,"investment banking, banking operations, trade life cycle, derivatives, fixed income, settlements, trading, data management"
Analyst,Barclays,Chennai,1-4 Yrs,2 weeks ago,"CFA / masters in finance / financial engineering would be an advantageAt Barclays, we d...","excel, trading, presentation skills, access database, powerpoint, reporting, cfa, Access"
TSYS Analyst | 6 To 9 years | PAN India,Capgemini,Pune,3-8 Yrs,2 weeks ago,Hands-on experience with TS2 or similar payment processing platforms is highly preferre...,"mainframes, sql, troubleshooting, scripting languages, unix, analysts, risk management, python"
Moveit Analyst,NTT DATA Business Solutions,Hyderabad,1-3 Yrs,3 weeks ago,"Familiarity with reporting tools such as PowerBi, PowerPoint, and Excel . 1-3 years of ...","Networking, DNS, SMB, TCP/IP, Troubleshooting, Security operations, Reporting tools, Technology operations"
T&E Analyst,Zeta Global,Hyderabad,2-6 Yrs,3+ weeks ago,"Handle escalated TE issues and disputes, ensuring prompt resolution and employee satisf...","SAN, SAP, Campaign management, Senior Analyst, Process improvement, Artificial Intelligence, HTML, Digital marketing"
Principal Analyst FP&A,Anheuser Busch InBev,Nashik,8-13 Yrs,3+ weeks ago,"Charted accountant or masters degree in accounting, Finance, or a related field, Previo...","anaplan, sap, bw, bi, financial reporting, cognos, excel powerpoint, FPA"
Principal Analyst FP&A,Anheuser Busch InBev,Bengaluru,8-13 Yrs,3+ weeks ago,"Charted accountant or masters degree in accounting, Finance, or a related field, Previo...","anaplan, sap, bw, bi, financial reporting, cognos, excel powerpoint, Reporting"
Crash Analyst,Akkodis,Bengaluru,5-10 Yrs,3+ weeks ago,Knowledge on Seat belt and safety system simulations and full vehicle integration will ...,"Technical Architect, Automobile, Animator, Simulation, Report writing, Mechanical, Finite element analysis, Automotive"
FP&A Analyst - UK Shift,ZIFF DAVIS PERFORMANCE MARKETING,Hybrid - Pune,2-5 Yrs,3+ weeks ago,Shift Time : 2:00 PM - 11:00 PM IST (UK Shift) What were looking for: . A Qualified Ch...,"Revenue Analysis, Financial Planning And Analysis, Variance Analysis, Go-to-market Strategy, Budgeting, Financial Analysis, Financial Reporting, Tableau"
Financial Analyst - (Part Time),Supercfo Advisory Services,Gurugram,8-12 Yrs,3+ weeks ago,"Budgeting Forecasting : Develop annual budgets, financial fo...","Financial reporting, Process improvement, Financial planning, Venture capital, Trend analysis, Budgeting, Risk management, Forecasting"
Sr. FP&A Analyst,Acme Services,Pune,2-3 Yrs,3+ weeks ago,functional processes would be added advantage. Data science certification and experienc...,"Executive leadership, Data analysis, tableau, data science, MIS, ICWA, Data Analyst, Management"
Analyst -FPNA,Apollo Global Management,Mumbai,3-6 Yrs,3+ weeks ago,We must never lose our focus and determination to be the best investors and most truste...,"Reinsurance, US GAAP, Journal entries, Financial reporting, External audit, Process improvement, Asset management, Investment management"
Analyst,Barclays,Noida,0-8 Yrs,3+ weeks ago,"Basic/ Essential Qualifications: * Graduate with experience in Finance, Operations and ...","Administration, Data management, Regulatory reporting, Senior Analyst, data governance, Data quality, Risk management, Individual Contributor"
MIS Merchandising Executive,Titan Company,Bengaluru,1-3 Yrs,1 day ago,Ability and willingness to learn and contribute. .,"Sales Coordination, Excel Report Preparation, sales function, fundamental excel knowledge, MIS Reporting, Reporting, Report preparation, Sales"
Executive - MIS,Teleperformance (TP),Mumbai,1-2 Yrs,1 day ago,Has a knowledge base typically acquired from a professional / university degree and app...,"Data analysis, Customer experience management, Customer service, Business intelligence, Operations, Monitoring, Logistics, MIS Executive"
Record To Report (SAP)- Analyst,Vuram,"Mumbai, Thane, Navi Mumbai",3-6 Yrs,1 day ago,Greetings from WNS!! WNS is hiring for General Ledger (Record To Report) at An...,"Quality standards, SAP, Journal entries, Fixed assets, Accounting, Reconciliation, record to report, Management"
Research Analyst,SBD Automotive,Bengaluru,1-4 Yrs,1 day ago,We are a global automotive research and consulting organization employing talented ind...,"Online research, Assurance, Data validation, Consulting, Market intelligence, IFS, Data collection, Market research"
Mis Executive,CIEL HR,Bengaluru(Kengeri),1-4 Yrs,1 day ago,"Role MIS, data entryExp – 0 to 2 years from NBFC industry onlyInterview – F2F","MIS Operations, Pivot Table, MIS Preparation, VLOOKUP, MIS Reporting, Excel Report Preparation, Pivot, Tables"
Research Analyst,T&M services consulting pvt.ltd,"Mumbai, Mumbai Suburban, Navi Mumbai",4-6 Yrs,1 day ago,"Candidates from companies such as Bunge, Cargill, Reliance retail (agri trading desk), ...","technical analysis, Agri Commodity Research, Agri Business, Castor, Commodities, Edible Oils, Pulses, Research analysis"
Analyst,CyberMedia Research(CMR),"Hybrid - Gurugram, Bengaluru",1-2 Yrs,1 day ago,Conduct primary & secondary research across specific industries & markets. Prepare conc...,"Analysts, Secondary Research, Data Collection, Primary Research, Market Research, Research, Data, Analysis"
Feature Analyst Feature Analyst,Zensar,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-6 Yrs,6 days ago,BA / IT Qualification . Business analysis certification . Agile certification and exper...,"Basic, Business analysis, Agile, Data collection, Database, data integrity, JIRA, Application software"
Analyst,Wipro,Gurugram,1-4 Yrs,2 days ago,. Do. Support process by managing transactions as per required quality standards .,"customer service, technical support, process compliance, troubleshooting, operational excellence, project management, team management, workforce management"
Analyst,Wipro,Gurugram,1-3 Yrs,2 days ago,The purpose of the role is to provide effective technical support to the process and ac...,"customer service, technical support, troubleshooting, client interaction, operational excellence, project management, workforce management, problem management"
Analyst,Wipro,Chennai,1-3 Yrs,2 days ago,Ensure good quality of interaction with customer w.r.tMandatory Skills: Defined Contrib...,"automation framework, macros, gui automation, testing life cycle, user acceptance testing, software testing, automation testing, manual testing"
Analyst,Wipro,Gurugram,1-3 Yrs,2 days ago,Benefits coordinatorWhy This Role Is Valuable The employee Benefits Associate I positio...,"workday, microsoft office suite, benefits administration, employee benefits, digital transformation, hr generalist activities, employee relations, human resource management"
Analyst,Wipro,Bengaluru,1-3 Yrs,2 days ago,Experience: 1-3 Years. .,"customer service, hedge funds, accounting, financial accounting, financial statements, project management, private equity, capital market"
Analyst - FP&A,Golden Opportunities Pvt Ltd,Chennai,10-12 Yrs,2 days ago,Role & responsibilities Support end-to-end budgeting and forecasting processes across b...,"Financial planning, Financial Analysis, financial operations, Accounting, Budgeting, Forecasting, financial transformation, Transformation"
Carbon Footprint Analyst,ti Steps,"Hyderabad, Chennai, Bengaluru",0-2 Yrs,2 days ago,Support carbon offset and certification initiativesSkills Required: . Experience : 0-2 ...,"Excel, Data Analysis, Python, lca tools, ghg protocol, LCA, Carbon, Analysis"
Analyst,Wipro,Hybrid - Gurugram,1-4 Yrs,3 days ago,"Bachelors degree in business, finance, or related fieldInvolvement in subrogation reque...","Property And Casualty Insurance, Claims, Property And Casualty, Underwriting, Insurance Underwriting, Property Claims, Insurance, Property"
Premium Handler - Analyst,Hiring for TOP Prestigious MNC!,"Hybrid - Bengaluru, Mumbai (All Areas)",0-4 Yrs,4 days ago,Work Shift : Rotational shift. Primary Responsibilities : . Flexible with work shifts E...,"Premium Handler, BPO, Customer Support, Excellent Verbal And Written Communication Skills, Claims, Insurance, Customer Care, Microsoft"
Premium Handler - Analyst,Black and white Business Solution,"Hybrid - Bengaluru, Mumbai (All Areas)",0-4 Yrs,4 days ago,Work Shift : Rotational shift. Primary Responsibilities : . Flexible with work shifts E...,"Premium Handler, BPO, Customer Support, Excellent Verbal And Written Communication Skills, Claims, Insurance, Customer Care, Microsoft"
Premium Handler - Analyst,Hiring for the Most Prestigious Multinational Corporation !!,"Hybrid - Bengaluru, Mumbai (All Areas)",0-4 Yrs,4 days ago,Work Shift : Rotational shift. Primary Responsibilities : . Flexible with work shifts E...,"Premium Handler, BPO, Customer Support, Excellent Verbal And Written Communication Skills, Claims, Insurance, Customer Care, Microsoft"
Premium Handler - Analyst,Hiring For Top Prestigious MNC,"Hybrid - Bengaluru, Mumbai (All Areas)",0-4 Yrs,4 days ago,Flexible with work shifts Education : Bachelors or Masters degree (any discipline). Exp...,"Premium Handler, BPO, Customer Support, Excellent Verbal And Written Communication Skills, Claims, Insurance, Customer Care, Microsoft"
Premium Handler - Analyst,Hiring for One of the Most Prestigious MNC!,"Hybrid - Bengaluru, Mumbai (All Areas)",0-4 Yrs,4 days ago,Flexible with work shifts Education : Bachelors or Masters degree (any discipline). Exp...,"Premium Handler, BPO, Customer Support, Excellent Verbal And Written Communication Skills, Claims, Insurance, Customer Care, Microsoft"
Analyst,Wipro,Gurugram,1-4 Yrs,5 days ago,Role PurposeThe purpose of the role is to provide effective technical support to the pr...,"capital management, customer service, microsoft office suite, technical support, fixed income, collateral management, forecasting, accounting"
Analyst,Wipro,Gurugram,1-4 Yrs,5 days ago,. Do. Support process by managing transactions as per required quality standards .,"customer service, technical support, troubleshooting, client interaction, operational excellence, project management, team management, workforce management"
Analyst,Wipro,Bengaluru,1-4 Yrs,5 days ago,"Role PurposeThe purpose of the role is for Anaplan DeveloperDoAbility to understand, in...","financial analysis, anaplan, dashboards, financial planning, finance, project management, data analysis, forecasting"
Analyst,Wipro,Gurugram,1-3 Yrs,5 days ago,. Do. Support process by managing transactions as per required quality standards . Expe...,"hro, customer service, technical support, process compliance, troubleshooting, project management, operations management, team management"
Analyst,Wipro,Bengaluru,1-3 Yrs,5 days ago,. Do. Support process by managing transactions as per required quality standards . Expe...,"customer service, technical support, process compliance, troubleshooting, operational excellence, project management, team management, workforce management"
"Analyst, EMEA Insights",Guidepoint,Mumbai,4-9 Yrs,5 days ago,Bachelor s degree or Master s degree . 4+ years of work experience at a financial servi...,"SIDE, Networking, Equity research, Time management, Manager Technology, Research, Financial services, Private equity"
Analyst,Elements HR Services,Pune,4-6 Yrs,5 days ago,"Qualifications: . Bachelors or Master s degree in Accounting, Finance, Forensics, or re...","Anti Bribery, Anti Corruption, Forensic Investigations, Forensic Audit, Fraud Risk Assessment, Assessment, Investigations, Investigation"
Analyst,eClerx,Chennai,0-3 Yrs,6 days ago,Customer Service Analyst - Voice ProcessMumbai| Full-time (FT) | Customer OperationsShi...,"Customer Service, project management, inbound calls, inbound, information security, workforce management, problem management, root cause analysis"
Analyst,eClerx,Pune,0-3 Yrs,6 days ago,Customer Service Analyst - Voice ProcessMumbai| Full-time (FT) | Customer OperationsShi...,"Customer Service, project management, inbound calls, inbound, information security, workforce management, problem management, root cause analysis"
Analyst,eClerx,Hyderabad,0-3 Yrs,6 days ago,Customer Service Analyst - Voice ProcessMumbai| Full-time (FT) | Customer OperationsShi...,"Customer Service, project management, inbound calls, inbound, information security, workforce management, problem management, root cause analysis"
Analyst,eClerx,Ghaziabad,0-3 Yrs,6 days ago,Customer Service Analyst - Voice ProcessMumbai| Full-time (FT) | Customer OperationsShi...,"Customer Service, project management, inbound calls, inbound, information security, workforce management, problem management, root cause analysis"
Analyst,eClerx,Bengaluru,0-3 Yrs,6 days ago,Customer Service Analyst - Voice ProcessMumbai| Full-time (FT) | Customer OperationsShi...,"Customer Service, project management, inbound calls, inbound, information security, workforce management, problem management, root cause analysis"
Analyst,eClerx,Kothamangalam,0-3 Yrs,6 days ago,Customer Service Analyst - Voice ProcessFull-time (FT) | Customer OperationsShift Timin...,"Customer Service, project management, inbound calls, inbound, information security, workforce management, problem management, root cause analysis"
